Group_name_size,Byte_size,Number of files,Number of pairs in similarity results,NO. of pairs with similarity score equals 1,NO. of pairs with 0.95 <= similarity score < 1,NO. of pairs with 0.9 <= similarity score < .95,NO. of pairs with 0.8 <= similarity score < .9
group_127082_size_3,127082,3,2,0,0,0,0
group_555846_size_4,555846,4,3,0,0,0,0
group_588392_size_64,588392,64,59,0,0,0,0
group_93046_size_2,93046,2,1,0,0,0,0
group_114304_size_3,114304,3,2,0,0,0,0
group_96786_size_118,96786,118,104,0,0,0,0
group_580200_size_49,580200,49,41,0,0,0,0
group_362114_size_2,362114,2,1,0,0,0,0
group_101396_size_3,101396,3,2,0,0,0,0
group_59620_size_3,59620,3,2,0,0,0,0
group_177684_size_2,177684,2,1,0,0,0,0
group_238872_size_2,238872,2,1,0,0,0,0
group_371534_size_2,371534,2,1,0,0,0,0
group_339056_size_2,339056,2,1,0,0,0,0
group_118580_size_2,118580,2,1,0,0,0,0
group_208658_size_804,208658,804,732,0,0,0,0
group_200524_size_2,200524,2,1,0,0,0,0
group_142728_size_4,142728,4,3,0,0,0,0
group_379974_size_2,379974,2,1,0,0,0,0
group_210650_size_4,210650,4,2,0,0,0,0
group_362694_size_7,362694,7,5,0,0,0,0
group_360882_size_202,360882,202,181,0,0,0,0
group_442450_size_71,442450,71,62,0,0,0,0
group_43072_size_2,43072,2,1,0,0,0,0
group_58984_size_1677,58984,1677,1430,1,0,0,0
group_155422_size_6,155422,6,5,0,0,0,0
group_266224_size_2,266224,2,1,0,0,0,0
group_164462_size_2,164462,2,1,0,0,0,0
group_105450_size_3,105450,3,2,0,0,0,0
group_206006_size_212,206006,212,184,0,0,0,0
group_49886_size_2,49886,2,1,0,0,0,0
group_140988_size_5,140988,5,4,0,0,0,0
group_301650_size_316,301650,316,282,0,0,0,0
group_401944_size_4,401944,4,3,0,0,0,0
group_46010_size_3,46010,3,2,0,0,0,0
group_167162_size_4,167162,4,2,0,0,0,0
group_530898_size_3,530898,3,2,0,0,0,0
group_417384_size_144,417384,144,128,0,0,0,0
group_162706_size_313,162706,313,279,0,0,0,0
group_253188_size_286,253188,286,248,0,0,0,0
group_163352_size_2,163352,2,1,0,0,0,0
group_88616_size_106,88616,106,87,0,0,0,0
group_109522_size_131,109522,131,119,0,0,0,0
group_153490_size_173,153490,173,149,0,0,0,0
group_42790_size_2,42790,2,1,0,0,0,0
group_249496_size_2,249496,2,1,0,0,0,0
group_52000_size_28,52000,28,25,0,0,0,0
group_85112_size_3,85112,3,2,0,0,0,0
group_232708_size_2,232708,2,1,0,0,0,0
group_78044_size_4,78044,4,3,0,0,0,0
group_300274_size_321,300274,321,287,0,0,0,0
group_127174_size_2,127174,2,1,0,0,0,0
group_41160_size_2,41160,2,1,0,0,0,0
group_322024_size_9,322024,9,7,0,0,0,0
group_222640_size_2,222640,2,1,0,0,0,0
group_245298_size_313,245298,313,274,0,0,0,0
group_435462_size_2,435462,2,1,0,0,0,0
group_186342_size_2,186342,2,1,0,0,0,0
group_165342_size_4,165342,4,3,0,0,0,0
group_185326_size_2,185326,2,1,0,0,0,0
group_179632_size_2,179632,2,1,0,0,0,0
group_55834_size_2,55834,2,1,0,0,0,0
group_217550_size_3,217550,3,2,0,0,0,0
group_166742_size_3,166742,3,2,0,0,0,0
group_322774_size_2,322774,2,1,0,0,0,0
group_86378_size_3,86378,3,2,0,0,0,0
group_65516_size_6,65516,6,5,0,0,0,0
group_38506_size_3,38506,3,2,0,0,0,0
group_183756_size_2,183756,2,1,0,0,0,0
group_321170_size_266,321170,266,243,0,0,0,0
group_231434_size_2,231434,2,1,0,0,0,0
group_70746_size_2,70746,2,1,0,0,0,0
group_184948_size_2,184948,2,1,0,0,0,0
group_399418_size_2,399418,2,1,0,0,0,0
group_71372_size_3,71372,3,2,0,0,0,0
group_207776_size_2,207776,2,1,0,0,0,0
group_119126_size_3,119126,3,2,0,0,0,0
group_142930_size_154,142930,154,129,0,0,0,0
group_394930_size_143,394930,143,130,0,0,0,0
group_108018_size_80,108018,80,69,0,0,0,0
group_154044_size_3,154044,3,2,0,0,0,0
group_214922_size_233,214922,233,208,0,0,0,0
group_99282_size_76,99282,76,64,0,0,0,0
group_42930_size_14,42930,14,12,0,0,0,0
group_82078_size_2,82078,2,1,0,0,0,0
group_224006_size_2,224006,2,1,0,0,0,0
group_34098_size_22,34098,22,17,0,0,0,0
group_208110_size_2,208110,2,1,0,0,0,0
group_71378_size_54,71378,54,47,0,0,0,0
group_241298_size_568,241298,568,511,0,0,0,0
group_339640_size_6,339640,6,3,0,0,0,0
group_98432_size_6,98432,6,5,0,0,0,0
group_169810_size_209,169810,209,186,0,0,0,0
group_416530_size_96,416530,96,86,0,0,0,0
group_185490_size_318,185490,318,293,0,0,0,0
group_354260_size_5,354260,5,4,0,0,0,0
group_200600_size_5,200600,5,4,0,0,0,0
group_286886_size_36,286886,36,30,0,0,0,0
group_248552_size_2,248552,2,1,0,0,0,0
group_134376_size_6,134376,6,5,0,0,0,0
group_68990_size_2,68990,2,1,0,0,0,0
group_258356_size_2,258356,2,1,0,0,0,0
group_209236_size_2,209236,2,1,0,0,0,0
group_51616_size_2,51616,2,1,0,0,0,0
group_186780_size_3,186780,3,2,0,0,0,0
group_411698_size_277,411698,277,256,0,0,0,0
group_139586_size_2,139586,2,1,0,0,0,0
group_113178_size_2,113178,2,1,0,0,0,0
group_211552_size_2,211552,2,1,0,0,0,0
group_162642_size_228,162642,228,204,0,0,0,0
group_449298_size_65,449298,65,60,0,0,0,0
group_479220_size_2,479220,2,1,0,0,0,0
group_110598_size_2,110598,2,1,0,0,0,0
group_97438_size_2,97438,2,1,0,0,0,0
group_161866_size_2,161866,2,1,0,0,0,0
group_113498_size_4,113498,4,3,0,0,0,0
group_281448_size_69,281448,69,62,0,0,0,0
group_213232_size_5,213232,5,4,0,0,0,0
group_157028_size_2,157028,2,1,0,0,0,0
group_207900_size_4,207900,4,3,0,0,0,0
group_266134_size_12,266134,12,11,0,0,0,0
group_164948_size_2,164948,2,1,0,0,0,0
group_93164_size_1193,93164,1193,1054,0,0,0,0
group_221970_size_278,221970,278,237,0,0,0,0
group_65850_size_10,65850,10,8,0,0,0,0
group_195120_size_6,195120,6,4,0,0,0,0
group_485442_size_2,485442,2,1,0,0,0,0
group_247192_size_2,247192,2,1,0,0,0,0
group_225196_size_2,225196,2,1,0,0,0,0
group_49076_size_2,49076,2,1,0,0,0,0
group_191898_size_4,191898,4,3,0,0,0,0
group_148148_size_2,148148,2,1,0,0,0,0
group_484646_size_65,484646,65,60,0,0,0,0
group_126922_size_2,126922,2,1,0,0,0,0
group_280624_size_3,280624,3,2,0,0,0,0
group_218990_size_4,218990,4,3,0,0,0,0
group_114022_size_17,114022,17,13,0,0,0,0
group_194210_size_5,194210,5,4,0,0,0,0
group_269350_size_3,269350,3,2,0,0,0,0
group_412722_size_112,412722,112,94,0,0,0,0
group_299058_size_307,299058,307,268,0,0,0,0
group_119598_size_1098,119598,1098,971,0,0,0,0
group_32786_size_3,32786,3,2,0,0,0,0
group_112538_size_3,112538,3,2,0,0,0,0
group_78472_size_2,78472,2,1,0,0,0,0
group_154730_size_2,154730,2,1,0,0,0,0
group_163900_size_2,163900,2,1,0,0,0,0
group_477492_size_3,477492,3,2,0,0,0,0
group_75646_size_2,75646,2,1,0,0,0,0
group_167612_size_2,167612,2,1,0,0,0,0
group_63522_size_3,63522,3,2,0,0,0,0
group_108336_size_2,108336,2,1,0,0,0,0
group_112400_size_4,112400,4,3,0,0,0,0
group_225514_size_2,225514,2,1,0,0,0,0
group_261180_size_104,261180,104,89,0,0,0,0
group_158068_size_4,158068,4,3,0,0,0,0
group_77466_size_2,77466,2,1,0,0,0,0
group_252008_size_2,252008,2,1,0,0,0,0
group_186404_size_2,186404,2,1,0,0,0,0
group_123922_size_486,123922,486,424,0,0,0,0
group_89998_size_3,89998,3,2,0,0,0,0
group_112434_size_298,112434,298,258,0,0,0,0
group_139238_size_5,139238,5,4,0,0,0,0
group_35506_size_56,35506,56,44,0,0,0,0
group_288706_size_3,288706,3,2,0,0,0,0
group_291844_size_5,291844,5,4,0,0,0,0
group_113412_size_3,113412,3,2,0,0,0,0
group_214412_size_2,214412,2,1,0,0,0,0
group_220784_size_3,220784,3,2,0,0,0,0
group_79786_size_2,79786,2,1,0,0,0,0
group_104670_size_3,104670,3,2,0,0,0,0
group_78766_size_2,78766,2,1,0,0,0,0
group_456082_size_34,456082,34,30,0,0,0,0
group_223404_size_2,223404,2,1,0,0,0,0
group_123382_size_2,123382,2,1,0,0,0,0
group_32178_size_4,32178,4,3,0,0,0,0
group_115424_size_2,115424,2,1,0,0,0,0
group_54416_size_2,54416,2,1,0,0,0,0
group_265138_size_324,265138,324,291,0,0,0,0
group_109512_size_2,109512,2,1,0,0,0,0
group_356934_size_2,356934,2,1,0,0,0,0
group_119674_size_2,119674,2,1,0,0,0,0
group_309510_size_3,309510,3,2,0,0,0,0
group_129628_size_2,129628,2,1,0,0,0,0
group_340722_size_225,340722,225,196,0,0,0,0
group_220346_size_25,220346,25,21,0,0,0,0
group_58808_size_5,58808,5,4,0,0,0,0
group_154494_size_5,154494,5,4,0,0,0,0
group_239922_size_309,239922,309,280,0,0,0,0
group_395346_size_128,395346,128,113,0,0,0,0
group_87478_size_2,87478,2,1,0,0,0,0
group_436774_size_2,436774,2,1,0,0,0,0
group_84924_size_2133,84924,2133,1893,0,0,0,0
group_73698_size_258,73698,258,225,0,0,0,0
group_314130_size_303,314130,303,280,0,0,0,0
group_195174_size_2,195174,2,1,0,0,0,0
group_83336_size_2,83336,2,1,0,0,0,0
group_253618_size_355,253618,355,329,0,0,0,0
group_305862_size_2,305862,2,1,0,0,0,0
group_341030_size_2,341030,2,1,0,0,0,0
group_145782_size_4,145782,4,3,0,0,0,0
group_130130_size_111,130130,111,99,0,0,0,0
group_285998_size_87,285998,87,76,0,0,0,0
group_54590_size_3,54590,3,2,0,0,0,0
group_315858_size_376,315858,376,344,0,0,0,0
group_400626_size_182,400626,182,161,0,0,0,0
group_182610_size_223,182610,223,196,0,0,0,0
group_488006_size_3,488006,3,2,0,0,0,0
group_62290_size_74,62290,74,61,0,0,0,0
group_71792_size_3,71792,3,2,0,0,0,0
group_217928_size_2,217928,2,1,0,0,0,0
group_41720_size_3,41720,3,2,0,0,0,0
group_185766_size_2,185766,2,1,0,0,0,0
group_47192_size_2,47192,2,1,0,0,0,0
group_297402_size_2,297402,2,1,0,0,0,0
group_633106_size_25,633106,25,20,0,0,0,0
group_215922_size_277,215922,277,247,0,0,0,0
group_428062_size_2,428062,2,1,0,0,0,0
group_60406_size_4,60406,4,3,0,0,0,0
group_232304_size_2,232304,2,1,0,0,0,0
group_187300_size_7,187300,7,6,0,0,0,0
group_66462_size_2,66462,2,1,0,0,0,0
group_321938_size_479,321938,479,428,0,0,0,0
group_132240_size_12,132240,12,10,0,0,0,0
group_421426_size_210,421426,210,187,0,0,0,0
group_41616_size_2,41616,2,1,0,0,0,0
group_351174_size_3,351174,3,2,0,0,0,0
group_115874_size_4,115874,4,3,0,0,0,0
group_206324_size_2,206324,2,1,0,0,0,0
group_82028_size_2,82028,2,1,0,0,0,0
group_322066_size_502,322066,502,447,0,0,0,0
group_316030_size_2,316030,2,1,0,0,0,0
group_130962_size_113,130962,113,100,0,0,0,0
group_113104_size_3,113104,3,2,0,0,0,0
group_76062_size_2,76062,2,1,0,0,0,0
group_208178_size_320,208178,320,287,0,0,0,0
group_49280_size_4,49280,4,2,0,0,0,0
group_146438_size_2,146438,2,1,0,0,0,0
group_68170_size_2,68170,2,1,0,0,0,0
group_257394_size_435,257394,435,398,0,0,0,0
group_615772_size_2,615772,2,1,0,0,0,0
group_298946_size_2,298946,2,1,0,0,0,0
group_263294_size_5,263294,5,4,0,0,0,0
group_137878_size_2,137878,2,1,0,0,0,0
group_76214_size_3,76214,3,2,0,0,0,0
group_334532_size_3,334532,3,2,0,0,0,0
group_151996_size_5,151996,5,4,0,0,0,0
group_132550_size_2,132550,2,1,0,0,0,0
group_264186_size_4,264186,4,3,0,0,0,0
group_101684_size_2,101684,2,1,0,0,0,0
group_299854_size_2,299854,2,1,0,0,0,0
group_166624_size_239,166624,239,211,1,0,0,0
group_417696_size_5,417696,5,4,0,0,0,0
group_276306_size_343,276306,343,304,0,0,0,0
group_260978_size_335,260978,335,302,0,0,0,0
group_207174_size_36,207174,36,30,0,0,0,0
group_105574_size_2,105574,2,1,0,0,0,0
group_320754_size_312,320754,312,280,0,0,0,0
group_185798_size_2,185798,2,1,0,0,0,0
group_179346_size_368,179346,368,331,0,0,0,0
group_104432_size_1035,104432,1035,916,0,0,0,0
group_82234_size_5,82234,5,4,0,0,0,0
group_109500_size_1837,109500,1837,1639,0,0,0,1
group_181212_size_3,181212,3,2,0,0,0,0
group_59368_size_2,59368,2,1,0,0,0,0
group_293498_size_4,293498,4,3,0,0,0,0
group_51380_size_2,51380,2,1,0,0,0,0
group_96080_size_2,96080,2,1,0,0,0,0
group_61912_size_5,61912,5,3,0,0,0,0
group_37444_size_2,37444,2,1,0,0,0,0
group_523486_size_2,523486,2,1,0,0,0,0
group_282352_size_2,282352,2,1,0,0,0,0
group_377106_size_391,377106,391,354,0,0,0,0
group_125704_size_2,125704,2,1,0,0,0,0
group_225558_size_2,225558,2,1,0,0,0,0
group_223636_size_3,223636,3,2,0,0,0,0
group_175442_size_261,175442,261,230,0,0,0,0
group_542062_size_3,542062,3,2,0,0,0,0
group_144386_size_2,144386,2,1,0,0,0,0
group_95430_size_2,95430,2,1,0,0,0,0
group_130102_size_4,130102,4,3,0,0,0,0
group_265372_size_2,265372,2,1,0,0,0,0
group_159900_size_2,159900,2,1,0,0,0,0
group_229232_size_204,229232,204,186,0,0,0,0
group_95090_size_149,95090,149,132,0,0,0,0
group_305394_size_316,305394,316,281,0,0,0,0
group_46738_size_26,46738,26,21,0,0,0,0
group_47538_size_42,47538,42,35,0,0,0,0
group_77284_size_3,77284,3,2,0,0,0,0
group_287644_size_2,287644,2,1,0,0,0,0
group_199874_size_2,199874,2,1,0,0,0,0
