Group_name_size,Byte_size,Number of files,Number of pairs in similarity results,NO. of pairs with similarity score equals 1,NO. of pairs with 0.95 <= similarity score < 1,NO. of pairs with 0.9 <= similarity score < .95,NO. of pairs with 0.8 <= similarity score < .9
group_217504_size_4,217504,4,3,0,0,0,0
group_121608_size_4,121608,4,3,0,0,0,0
group_249648_size_5,249648,5,4,0,0,0,0
group_180266_size_73,180266,73,63,0,0,0,0
group_83478_size_5,83478,5,4,0,0,0,0
group_232422_size_3,232422,3,2,0,0,0,0
group_98582_size_920,98582,920,817,0,0,0,0
group_75112_size_330,75112,330,291,0,0,0,0
group_112170_size_2,112170,2,1,0,0,0,0
group_120248_size_841,120248,841,737,0,0,0,0
group_87992_size_3,87992,3,2,0,0,0,0
group_171392_size_3,171392,3,2,0,0,0,0
group_120946_size_132,120946,132,112,0,0,0,0
group_77884_size_2,77884,2,1,0,0,0,0
group_138486_size_2,138486,2,1,0,0,0,0
group_397950_size_2,397950,2,1,0,0,0,0
group_278656_size_2,278656,2,1,0,0,0,0
group_622552_size_2,622552,2,1,0,0,0,0
group_104386_size_6,104386,6,5,0,0,0,0
group_181524_size_2,181524,2,1,0,0,0,0
group_210744_size_2,210744,2,1,0,0,0,0
group_326642_size_238,326642,238,210,0,0,0,0
group_407144_size_142,407144,142,128,0,0,0,0
group_354770_size_190,354770,190,177,0,0,0,0
group_43570_size_62,43570,62,54,0,0,0,0
group_133530_size_2,133530,2,1,0,0,0,0
group_179206_size_3,179206,3,2,0,0,0,0
group_44896_size_2,44896,2,1,0,0,0,0
group_219854_size_3,219854,3,2,0,0,0,0
group_510226_size_78,510226,78,66,0,0,0,0
group_53980_size_3,53980,3,2,0,0,0,0
group_114896_size_2,114896,2,1,0,0,0,0
group_53606_size_2,53606,2,1,0,0,0,0
group_89292_size_4,89292,4,3,0,0,0,0
group_317490_size_292,317490,292,263,0,0,0,0
group_71252_size_5,71252,5,3,0,0,0,0
group_269652_size_2,269652,2,1,0,0,0,0
group_105224_size_2,105224,2,1,0,0,0,0
group_346502_size_2,346502,2,1,0,0,0,0
group_101644_size_2,101644,2,1,0,0,0,0
group_190718_size_8,190718,8,6,0,0,0,0
group_206830_size_2,206830,2,1,0,0,0,0
group_307218_size_475,307218,475,431,0,0,0,0
group_185762_size_3,185762,3,2,0,0,0,0
group_132092_size_5,132092,5,4,0,0,0,0
group_100892_size_2,100892,2,1,0,0,0,0
group_96200_size_2,96200,2,1,0,0,0,0
group_436370_size_60,436370,60,51,0,0,0,0
group_374582_size_2,374582,2,1,0,0,0,0
group_261616_size_5,261616,5,4,0,0,0,0
group_74512_size_4,74512,4,3,0,0,0,0
group_200414_size_226,200414,226,198,0,0,0,0
group_101992_size_1932,101992,1932,1718,0,0,0,0
group_465122_size_2,465122,2,1,0,0,0,0
group_595246_size_2,595246,2,1,0,0,0,0
group_258266_size_25,258266,25,22,0,0,0,0
group_22834_size_2,22834,2,1,0,0,0,0
group_241798_size_182,241798,182,162,0,0,0,0
group_437880_size_2,437880,2,1,0,0,0,0
group_485650_size_84,485650,84,76,0,0,0,0
group_328978_size_1182,328978,1182,1086,1,0,0,0
group_141212_size_4,141212,4,2,0,0,0,0
group_362088_size_245,362088,245,219,0,0,0,0
group_250098_size_331,250098,331,293,0,0,0,0
group_127444_size_4,127444,4,3,0,0,0,0
group_85358_size_4,85358,4,3,0,0,0,0
group_225074_size_284,225074,284,260,0,0,0,0
group_118700_size_4,118700,4,3,0,0,0,0
group_86982_size_2,86982,2,1,0,0,0,0
group_298350_size_2,298350,2,1,0,0,0,0
group_84246_size_2,84246,2,1,0,0,0,0
group_392306_size_179,392306,179,160,0,0,0,0
group_143890_size_244,143890,244,214,0,0,0,0
group_375734_size_3,375734,3,2,0,0,0,0
group_249646_size_2,249646,2,1,0,0,0,0
group_59324_size_2230,59324,2230,1916,3,0,0,1
group_191766_size_2,191766,2,1,0,0,0,0
group_341714_size_266,341714,266,241,0,0,0,0
group_208386_size_2,208386,2,1,0,0,0,0
group_81296_size_2,81296,2,1,0,0,0,0
group_131770_size_2,131770,2,1,0,0,0,0
group_229446_size_10,229446,10,9,0,0,0,0
group_107722_size_2,107722,2,1,0,0,0,0
group_28274_size_9,28274,9,6,0,0,0,0
group_63904_size_3,63904,3,2,0,0,0,0
group_30546_size_6,30546,6,5,0,0,0,0
group_204582_size_178,204582,178,158,0,0,0,0
group_125086_size_2,125086,2,1,0,0,0,0
group_266972_size_3,266972,3,2,0,0,0,0
group_186074_size_3,186074,3,2,0,0,0,0
group_397244_size_256,397244,256,227,0,0,0,0
group_71884_size_2,71884,2,1,0,0,0,0
group_158712_size_2,158712,2,1,0,0,0,0
group_110044_size_2,110044,2,1,0,0,0,0
group_206234_size_18,206234,18,15,0,0,0,0
group_216432_size_2,216432,2,1,0,0,0,0
group_69312_size_2,69312,2,1,0,0,0,0
group_107572_size_4,107572,4,3,0,0,0,0
group_209796_size_2,209796,2,1,0,0,0,0
group_125368_size_2,125368,2,1,0,0,0,0
group_96472_size_2,96472,2,1,0,0,0,0
group_249202_size_347,249202,347,314,0,0,0,0
group_72420_size_3,72420,3,2,0,0,0,0
group_272230_size_2,272230,2,1,0,0,0,0
group_60592_size_8,60592,8,6,0,0,0,0
group_92010_size_2,92010,2,1,0,0,0,0
group_249808_size_4,249808,4,3,0,0,0,0
group_175156_size_2,175156,2,1,0,0,0,0
group_57724_size_3,57724,3,2,0,0,0,0
group_143200_size_5,143200,5,4,0,0,0,0
group_139164_size_2,139164,2,1,0,0,0,0
group_223748_size_3,223748,3,2,0,0,0,0
group_79094_size_8,79094,8,6,0,0,0,0
group_293458_size_505,293458,505,458,0,0,0,0
group_85998_size_3,85998,3,2,0,0,0,0
group_106424_size_3,106424,3,2,0,0,0,0
group_91978_size_2,91978,2,1,0,0,0,0
group_102352_size_447,102352,447,387,0,0,0,0
group_234530_size_14,234530,14,13,0,0,0,0
group_204210_size_314,204210,314,277,0,0,0,0
group_130738_size_141,130738,141,126,0,0,0,0
group_482546_size_5,482546,5,3,0,0,0,0
group_117582_size_3,117582,3,2,0,0,0,0
group_48488_size_7,48488,7,6,0,0,0,0
group_90116_size_2,90116,2,1,0,0,0,0
group_114056_size_2,114056,2,1,0,0,0,0
group_185870_size_2,185870,2,1,0,0,0,0
group_577358_size_2,577358,2,1,0,0,0,0
group_453970_size_45,453970,45,39,0,0,0,0
group_59920_size_2,59920,2,1,0,0,0,0
group_166466_size_2,166466,2,1,0,0,0,0
group_299954_size_279,299954,279,246,1,0,0,0
group_254864_size_5,254864,5,4,0,0,0,0
group_78826_size_3,78826,3,2,0,0,0,0
group_43086_size_3,43086,3,2,0,0,0,0
group_44394_size_340,44394,340,292,0,0,0,0
group_257888_size_2,257888,2,1,0,0,0,0
group_167104_size_2,167104,2,1,0,0,0,0
group_91810_size_3,91810,3,2,0,0,0,0
group_379838_size_2,379838,2,1,0,0,0,0
group_94828_size_4,94828,4,2,0,0,0,0
group_148690_size_533,148690,533,474,0,0,0,0
group_75002_size_3,75002,3,2,0,0,0,0
group_145278_size_2,145278,2,1,0,0,0,0
group_139356_size_2,139356,2,1,0,0,0,0
group_136690_size_206,136690,206,182,0,0,0,0
group_247864_size_131,247864,131,119,0,0,0,0
group_170994_size_207,170994,207,182,0,0,0,0
group_60128_size_3,60128,3,2,0,0,0,0
group_315762_size_274,315762,274,249,0,0,0,0
group_227888_size_2,227888,2,1,0,0,0,0
group_108844_size_3,108844,3,2,0,0,0,0
group_209850_size_3,209850,3,2,0,0,0,0
group_276338_size_341,276338,341,311,0,0,0,0
group_245306_size_2,245306,2,1,0,0,0,0
group_469970_size_20,469970,20,16,0,0,0,0
group_173266_size_224,173266,224,189,0,0,0,0
group_134274_size_2,134274,2,1,0,0,0,0
group_84604_size_5,84604,5,4,0,0,0,0
group_151246_size_2,151246,2,1,0,0,0,0
group_186958_size_2,186958,2,1,0,0,0,0
group_305400_size_2,305400,2,1,0,0,0,0
group_86402_size_4,86402,4,3,0,0,0,0
group_106300_size_2,106300,2,1,0,0,0,0
group_247968_size_6,247968,6,4,0,0,0,0
group_217634_size_2,217634,2,1,0,0,0,0
group_70518_size_2,70518,2,1,0,0,0,0
group_58312_size_4,58312,4,3,0,0,0,0
group_288700_size_610,288700,610,547,0,0,0,0
group_46680_size_6,46680,6,4,0,0,0,0
group_79858_size_61,79858,61,53,0,0,0,0
group_179912_size_3,179912,3,2,0,0,0,0
group_137112_size_2,137112,2,1,0,0,0,0
group_121078_size_3,121078,3,2,0,0,0,0
group_244434_size_359,244434,359,317,0,0,0,0
group_152786_size_186,152786,186,165,0,0,0,0
group_189882_size_4,189882,4,3,0,0,0,0
group_53600_size_3,53600,3,2,0,0,0,0
group_385078_size_133,385078,133,125,0,0,0,0
group_308414_size_2,308414,2,1,0,0,0,0
group_231200_size_2,231200,2,1,0,0,0,0
group_311828_size_3,311828,3,2,0,0,0,0
group_253282_size_80,253282,80,70,0,0,0,0
group_443704_size_3,443704,3,2,0,0,0,0
group_71504_size_6,71504,6,5,0,0,0,0
group_454994_size_43,454994,43,38,0,0,0,0
group_180594_size_347,180594,347,311,0,0,0,0
group_42972_size_2,42972,2,1,0,0,0,0
group_155518_size_2,155518,2,1,0,0,0,0
group_154546_size_153,154546,153,134,0,0,0,0
group_274994_size_313,274994,313,287,0,0,0,0
group_449128_size_139,449128,139,125,0,0,0,0
group_490962_size_33,490962,33,28,0,0,0,0
group_245762_size_2,245762,2,1,0,0,0,0
group_288432_size_2,288432,2,1,0,0,0,0
group_126314_size_683,126314,683,600,0,0,0,0
group_180156_size_1499,180156,1499,1344,0,0,0,0
group_109960_size_2,109960,2,1,0,0,0,0
group_64404_size_2,64404,2,1,0,0,0,0
group_72754_size_534,72754,534,459,0,0,0,0
group_408946_size_135,408946,135,119,0,0,0,0
group_79474_size_48,79474,48,41,0,0,0,0
group_281436_size_2,281436,2,1,0,0,0,0
group_65482_size_3,65482,3,2,0,0,0,0
group_322706_size_367,322706,367,329,0,0,0,0
group_400020_size_2,400020,2,1,0,0,0,0
group_265202_size_352,265202,352,324,0,0,0,0
group_308484_size_2,308484,2,1,0,0,0,0
group_213948_size_863,213948,863,775,0,0,0,0
group_292528_size_3,292528,3,2,0,0,0,0
group_493208_size_3,493208,3,2,0,0,0,0
group_104682_size_2,104682,2,1,0,0,0,0
group_69480_size_4,69480,4,3,0,0,0,0
group_625096_size_2,625096,2,1,0,0,0,0
group_479698_size_20,479698,20,18,0,0,0,0
group_232606_size_4,232606,4,3,0,0,0,0
group_127616_size_62,127616,62,55,0,0,0,0
group_174910_size_2,174910,2,1,0,0,0,0
group_218694_size_2,218694,2,1,0,0,0,0
group_405306_size_2,405306,2,1,0,0,0,0
group_84542_size_3,84542,3,2,0,0,0,0
group_144462_size_7,144462,7,5,0,0,0,0
group_378558_size_2,378558,2,1,0,0,0,0
group_56220_size_2,56220,2,1,0,0,0,0
group_120850_size_199,120850,199,173,0,0,0,0
group_212274_size_239,212274,239,212,0,0,0,0
group_210834_size_717,210834,717,649,0,0,0,0
group_180530_size_356,180530,356,319,0,0,0,0
group_321584_size_4,321584,4,3,0,0,0,0
group_364216_size_4,364216,4,3,0,0,0,0
group_204496_size_2,204496,2,1,0,0,0,0
group_48704_size_3,48704,3,2,0,0,0,0
group_95994_size_3,95994,3,2,0,0,0,0
group_274860_size_4,274860,4,3,0,0,0,0
group_92236_size_2,92236,2,1,0,0,0,0
group_435512_size_4,435512,4,3,0,0,0,0
group_60014_size_839,60014,839,734,0,0,0,0
group_123860_size_4,123860,4,3,0,0,0,0
group_201138_size_319,201138,319,279,0,0,0,0
group_225638_size_2,225638,2,1,0,0,0,0
group_239730_size_330,239730,330,297,0,0,0,0
group_110546_size_100,110546,100,84,0,0,0,0
group_169560_size_2,169560,2,1,0,0,0,0
group_147428_size_4,147428,4,3,0,0,0,0
group_43528_size_2,43528,2,1,0,0,0,0
group_227986_size_323,227986,323,293,0,0,0,0
group_49616_size_41,49616,41,34,0,0,0,0
group_142528_size_3,142528,3,2,0,0,0,0
group_462834_size_51,462834,51,47,0,0,0,0
group_127634_size_284,127634,284,250,0,0,0,0
group_154728_size_2,154728,2,1,0,0,0,0
group_162854_size_6,162854,6,5,0,0,0,0
group_408038_size_2,408038,2,1,0,0,0,0
group_58738_size_95,58738,95,84,0,0,0,0
group_132174_size_2,132174,2,1,0,0,0,0
group_50840_size_2,50840,2,1,0,0,0,0
group_616200_size_2,616200,2,1,0,0,0,0
group_65760_size_2,65760,2,1,0,0,0,0
group_413362_size_98,413362,98,89,0,0,0,0
group_66024_size_2,66024,2,1,0,0,0,0
group_319448_size_2,319448,2,1,0,0,0,0
group_195822_size_2,195822,2,1,0,0,0,0
group_164878_size_3,164878,3,2,0,0,0,0
group_258152_size_3,258152,3,2,0,0,0,0
group_41366_size_6,41366,6,5,0,0,0,0
group_340050_size_263,340050,263,239,0,0,0,0
group_133752_size_2,133752,2,1,0,0,0,0
group_258386_size_341,258386,341,300,0,0,0,0
group_345250_size_3,345250,3,2,0,0,0,0
group_96202_size_3,96202,3,2,0,0,0,0
group_85114_size_3,85114,3,2,0,0,0,0
group_226116_size_2,226116,2,1,0,0,0,0
group_475672_size_2,475672,2,1,0,0,0,0
group_117432_size_1058,117432,1058,931,0,0,0,0
group_208606_size_345,208606,345,306,0,0,0,0
group_286376_size_2,286376,2,1,0,0,0,0
group_159058_size_313,159058,313,284,0,0,0,0
group_366872_size_192,366872,192,172,0,0,0,0
group_170578_size_266,170578,266,236,0,0,0,0
group_255306_size_2,255306,2,1,0,0,0,0
group_254532_size_4,254532,4,3,0,0,0,0
group_179952_size_2,179952,2,1,0,0,0,0
group_252658_size_370,252658,370,330,0,0,0,0
group_198556_size_4,198556,4,3,0,0,0,0
group_84286_size_2,84286,2,1,0,0,0,0
group_444038_size_2,444038,2,1,0,0,0,0
group_237024_size_2,237024,2,1,0,0,0,0
group_157278_size_2,157278,2,1,0,0,0,0
group_144912_size_3,144912,3,2,0,0,0,0
group_498738_size_2,498738,2,1,0,0,0,0
group_184602_size_3,184602,3,2,0,0,0,0
group_123448_size_2,123448,2,1,0,0,0,0
group_237466_size_19,237466,19,17,0,0,0,0
group_102978_size_3,102978,3,2,0,0,0,0
group_245970_size_335,245970,335,303,1,0,0,0
group_82148_size_4,82148,4,3,0,0,0,0
group_77650_size_40,77650,40,33,0,0,0,0
group_278130_size_296,278130,296,266,0,0,0,0
group_232060_size_3,232060,3,2,0,0,0,0
group_80246_size_4,80246,4,3,0,0,0,0
group_357976_size_3,357976,3,2,0,0,0,0
group_144886_size_2,144886,2,1,0,0,0,0
group_90854_size_2,90854,2,1,0,0,0,0
group_391410_size_132,391410,132,121,0,0,0,0
group_105352_size_2,105352,2,1,0,0,0,0
group_94880_size_4,94880,4,3,0,0,0,0
group_74358_size_8,74358,8,6,0,0,0,0
group_80478_size_3,80478,3,2,0,0,0,0
group_207254_size_3,207254,3,2,0,0,0,0
group_37242_size_4,37242,4,3,0,0,0,0
group_213072_size_162,213072,162,139,0,0,0,0
group_72178_size_61,72178,61,52,0,0,0,0
group_110852_size_3,110852,3,2,0,0,0,0
group_398664_size_2,398664,2,1,0,0,0,0
group_203758_size_2,203758,2,1,0,0,0,0
group_84250_size_2,84250,2,1,0,0,0,0
group_192306_size_309,192306,309,280,0,0,0,0
group_221980_size_331,221980,331,293,0,0,0,0
group_130596_size_2,130596,2,1,0,0,0,0
group_168658_size_257,168658,257,230,0,0,0,0
group_193076_size_3,193076,3,2,0,0,0,0
group_77248_size_7,77248,7,5,0,0,0,0
group_160992_size_2,160992,2,1,0,0,0,0
group_64348_size_959,64348,959,828,0,0,0,0
group_44530_size_17,44530,17,14,0,0,0,0
group_300820_size_2,300820,2,1,0,0,0,0
group_358022_size_2,358022,2,1,0,0,0,0
group_79880_size_3,79880,3,2,0,0,0,0
group_248082_size_1458,248082,1458,1323,0,0,0,0
group_70924_size_3,70924,3,2,0,0,0,0
group_171608_size_2,171608,2,1,0,0,0,0
group_82310_size_2,82310,2,1,0,0,0,0
group_397554_size_145,397554,145,131,0,0,0,0
group_235964_size_6,235964,6,5,0,0,0,0
group_206068_size_2,206068,2,1,0,0,0,0
group_132704_size_2,132704,2,1,0,0,0,0
group_121394_size_108,121394,108,95,0,0,0,0
group_54582_size_5,54582,5,4,0,0,0,0
group_606818_size_5,606818,5,3,0,0,0,0
group_77570_size_5,77570,5,4,0,0,0,0
group_112652_size_3,112652,3,2,0,0,0,0
group_232080_size_2,232080,2,1,0,0,0,0
group_152594_size_148,152594,148,131,0,0,0,0
group_150222_size_3,150222,3,2,0,0,0,0
group_82474_size_6,82474,6,5,0,0,0,0
group_123342_size_8,123342,8,6,0,0,0,0
group_74020_size_2,74020,2,1,0,0,0,0
group_40882_size_5,40882,5,3,0,0,0,0
group_102078_size_2,102078,2,1,0,0,0,0
group_287034_size_2,287034,2,1,0,0,0,0
group_123018_size_2,123018,2,1,0,0,0,0
group_90592_size_5,90592,5,4,0,0,0,0
group_167868_size_1692,167868,1692,1527,0,0,0,0
group_82884_size_2,82884,2,1,0,0,0,0
group_198192_size_2,198192,2,1,0,0,0,0
group_205490_size_280,205490,280,242,0,0,0,0
group_279658_size_2,279658,2,1,0,0,0,0
group_354168_size_3,354168,3,2,0,0,0,0
group_93816_size_97,93816,97,85,0,0,0,0
group_390798_size_2,390798,2,1,0,0,0,0
group_44730_size_2,44730,2,1,0,0,0,0
group_450834_size_174,450834,174,162,0,0,0,0
group_72138_size_2,72138,2,1,0,0,0,0
group_117346_size_2,117346,2,1,0,0,0,0
group_187166_size_3,187166,3,2,0,0,0,0
group_190596_size_2,190596,2,1,0,0,0,0
group_405458_size_132,405458,132,117,0,0,0,0
group_83922_size_312,83922,312,270,0,0,0,0
group_217010_size_312,217010,312,283,0,0,0,0
group_131164_size_2,131164,2,1,0,0,0,0
group_168576_size_2,168576,2,1,0,0,0,0
group_212870_size_2,212870,2,1,0,0,0,0
group_271320_size_49,271320,49,43,0,0,0,0
group_209998_size_6,209998,6,4,0,0,0,0
group_305424_size_3,305424,3,2,0,0,0,0
group_118784_size_2,118784,2,1,0,0,0,0
group_269990_size_2,269990,2,1,0,0,0,0
group_83410_size_393,83410,393,335,0,0,0,0
group_159762_size_282,159762,282,254,0,0,0,0
group_84578_size_3,84578,3,2,0,0,0,0
group_398610_size_334,398610,334,303,0,0,0,0
group_131996_size_2,131996,2,1,0,0,0,0
group_283952_size_2,283952,2,1,0,0,0,0
group_181322_size_5,181322,5,4,0,0,0,0
group_52238_size_41,52238,41,34,0,0,0,0
group_160252_size_3,160252,3,2,0,0,0,0
group_131332_size_7,131332,7,5,0,0,0,0
group_503534_size_2,503534,2,1,0,0,0,0
group_192790_size_224,192790,224,196,0,0,0,0
group_223758_size_3,223758,3,2,0,0,0,0
group_424402_size_97,424402,97,82,0,0,0,0
group_101766_size_4,101766,4,3,0,0,0,0
group_485362_size_2,485362,2,1,0,0,0,0
group_145428_size_7,145428,7,5,0,0,0,0
group_405046_size_5,405046,5,3,0,0,0,0
group_184160_size_2,184160,2,1,0,0,0,0
group_140712_size_3,140712,3,2,0,0,0,0
group_116446_size_2,116446,2,1,0,0,0,0
group_120464_size_946,120464,946,853,0,0,0,0
group_430440_size_2,430440,2,1,0,0,0,0
group_201728_size_2,201728,2,1,0,0,0,0
group_217762_size_2,217762,2,1,0,0,0,0
group_50566_size_2,50566,2,1,0,0,0,0
group_338130_size_270,338130,270,240,1,0,0,0
group_277282_size_4,277282,4,3,0,0,0,0
group_52342_size_4,52342,4,3,0,0,0,0
group_96936_size_2,96936,2,1,0,0,0,0
group_550844_size_56,550844,56,47,0,0,0,0
group_102572_size_3,102572,3,2,0,0,0,0
group_236730_size_4,236730,4,3,0,0,0,0
group_60104_size_2,60104,2,1,0,0,0,0
group_68972_size_2,68972,2,1,0,0,0,0
group_185830_size_3,185830,3,2,0,0,0,0
group_62172_size_2,62172,2,1,0,0,0,0
group_266638_size_3,266638,3,2,0,0,0,0
group_54090_size_2,54090,2,1,0,0,0,0
group_71810_size_291,71810,291,248,0,0,0,0
group_80992_size_4,80992,4,3,0,0,0,0
group_379762_size_178,379762,178,165,0,0,0,0
group_164384_size_3,164384,3,2,0,0,0,0
group_400606_size_3,400606,3,2,0,0,0,0
group_327666_size_324,327666,324,284,0,0,0,0
group_51770_size_2,51770,2,1,0,0,0,0
group_394226_size_150,394226,150,135,0,0,0,0
group_52890_size_2,52890,2,1,0,0,0,0
group_36038_size_2,36038,2,1,0,0,0,0
group_97534_size_4,97534,4,3,0,0,0,0
group_55446_size_3,55446,3,2,0,0,0,0
group_347420_size_2,347420,2,1,0,0,0,0
group_68418_size_3,68418,3,2,0,0,0,0
group_122606_size_2,122606,2,1,0,0,0,0
group_111156_size_4,111156,4,3,0,0,0,0
group_199392_size_59,199392,59,50,0,0,0,0
group_403378_size_131,403378,131,119,0,0,0,0
group_106818_size_3,106818,3,2,0,0,0,0
group_115514_size_3,115514,3,2,0,0,0,0
group_243538_size_451,243538,451,413,0,0,0,0
group_184594_size_1494,184594,1494,1336,1,0,0,0
group_127668_size_2,127668,2,1,0,0,0,0
group_128860_size_4,128860,4,3,0,0,0,0
group_467090_size_29,467090,29,23,0,0,0,0
group_172498_size_431,172498,431,387,0,0,0,0
group_169564_size_2,169564,2,1,0,0,0,0
group_244012_size_4,244012,4,3,0,0,0,0
group_281610_size_3,281610,3,2,0,0,0,0
group_155458_size_2,155458,2,1,0,0,0,0
group_283174_size_2,283174,2,1,0,0,0,0
group_311256_size_4,311256,4,3,0,0,0,0
group_262996_size_2,262996,2,1,0,0,0,0
group_177250_size_2,177250,2,1,0,0,0,0
group_101012_size_2,101012,2,1,0,0,0,0
group_146672_size_2,146672,2,1,0,0,0,0
group_35422_size_3,35422,3,2,0,0,0,0
group_67420_size_2,67420,2,1,0,0,0,0
group_98738_size_67,98738,67,57,0,0,0,0
group_485480_size_3,485480,3,2,0,0,0,0
group_38868_size_2,38868,2,1,0,0,0,0
group_199058_size_459,199058,459,402,0,0,0,0
group_404322_size_2,404322,2,1,0,0,0,0
group_214098_size_387,214098,387,347,0,0,0,0
group_116348_size_910,116348,910,812,0,0,0,0
group_109672_size_5,109672,5,4,0,0,0,0
group_417976_size_3,417976,3,2,0,0,0,0
group_179254_size_2,179254,2,1,0,0,0,0
group_508792_size_63,508792,63,54,0,0,0,0
group_173290_size_3,173290,3,2,0,0,0,0
group_73330_size_43,73330,43,38,0,0,0,0
group_68744_size_336,68744,336,297,0,0,0,0
group_91578_size_361,91578,361,318,0,0,0,0
group_58434_size_2,58434,2,1,0,0,0,0
group_360854_size_5,360854,5,4,0,0,0,0
group_123318_size_4,123318,4,3,0,0,0,0
group_193334_size_3,193334,3,2,0,0,0,0
group_272888_size_2,272888,2,1,0,0,0,0
group_242578_size_537,242578,537,479,0,0,0,0
group_258664_size_733,258664,733,669,0,0,0,0
group_163550_size_2,163550,2,1,0,0,0,0
group_424290_size_2,424290,2,1,0,0,0,0
group_231604_size_3,231604,3,2,0,0,0,0
group_317298_size_319,317298,319,292,0,0,0,0
group_68296_size_4,68296,4,3,0,0,0,0
group_147298_size_2,147298,2,1,0,0,0,0
group_245482_size_110,245482,110,94,0,0,0,0
group_379164_size_3,379164,3,2,0,0,0,0
group_450546_size_80,450546,80,69,0,0,0,0
group_229430_size_5,229430,5,4,0,0,0,0
group_409554_size_161,409554,161,150,0,0,0,0
group_117480_size_2,117480,2,1,0,0,0,0
group_55776_size_11,55776,11,9,0,0,0,0
group_331954_size_274,331954,274,251,0,0,0,0
group_301318_size_2,301318,2,1,0,0,0,0
group_122004_size_2,122004,2,1,0,0,0,0
group_157488_size_3,157488,3,2,0,0,0,0
group_154674_size_364,154674,364,325,0,0,0,0
group_105002_size_3,105002,3,2,0,0,0,0
group_320444_size_395,320444,395,359,0,0,0,0
group_121866_size_2,121866,2,1,0,0,0,0
group_282370_size_3,282370,3,2,0,0,0,0
group_416242_size_106,416242,106,98,0,0,0,0
group_89840_size_2,89840,2,1,0,0,0,0
group_220848_size_2,220848,2,1,0,0,0,0
group_120556_size_278,120556,278,245,0,0,0,0
group_159248_size_553,159248,553,489,0,0,0,0
group_301486_size_220,301486,220,195,0,0,0,0
group_40602_size_2,40602,2,1,0,0,0,0
group_85682_size_43,85682,43,34,0,0,0,0
group_250420_size_2,250420,2,1,0,0,0,0
group_246994_size_628,246994,628,567,0,0,0,0
group_308154_size_2,308154,2,1,0,0,0,0
group_41712_size_2,41712,2,1,0,0,0,0
group_234002_size_369,234002,369,328,0,0,0,0
group_160246_size_312,160246,312,273,0,0,0,0
group_84370_size_49,84370,49,43,0,0,0,0
group_46482_size_18,46482,18,16,0,0,0,0
group_75532_size_3,75532,3,2,0,0,0,0
group_92564_size_310,92564,310,267,0,0,0,0
group_227120_size_2,227120,2,1,0,0,0,0
group_118158_size_2,118158,2,1,0,0,0,0
group_149682_size_176,149682,176,157,0,0,0,0
group_44716_size_3,44716,3,2,0,0,0,0
group_192332_size_2,192332,2,1,0,0,0,0
group_117784_size_2,117784,2,1,0,0,0,0
group_50178_size_2,50178,2,1,0,0,0,0
group_102438_size_3,102438,3,2,0,0,0,0
group_173234_size_264,173234,264,234,0,0,0,0
group_139506_size_294,139506,294,260,0,0,0,0
group_155410_size_156,155410,156,142,0,0,0,0
group_338470_size_2,338470,2,1,0,0,0,0
group_154442_size_2,154442,2,1,0,0,0,0
group_389608_size_2,389608,2,1,0,0,0,0
group_75996_size_4,75996,4,3,0,0,0,0
group_191750_size_19,191750,19,14,0,0,0,0
group_61904_size_23,61904,23,22,0,0,0,0
group_359776_size_2,359776,2,1,0,0,0,0
group_250832_size_2,250832,2,1,0,0,0,0
group_42002_size_31,42002,31,26,0,0,0,0
group_96702_size_2,96702,2,1,0,0,0,0
group_152768_size_3,152768,3,2,0,0,0,0
group_304628_size_2,304628,2,1,0,0,0,0
group_126378_size_4,126378,4,3,0,0,0,0
group_267590_size_2,267590,2,1,0,0,0,0
group_34230_size_24,34230,24,19,0,0,0,0
group_359628_size_2,359628,2,1,0,0,0,0
group_427602_size_73,427602,73,65,0,0,0,0
group_189484_size_4,189484,4,3,0,0,0,0
group_343410_size_227,343410,227,208,0,0,0,0
group_221560_size_51,221560,51,45,0,0,0,0
group_197006_size_2,197006,2,1,0,0,0,0
group_103428_size_5,103428,5,3,0,0,0,0
group_189302_size_2,189302,2,1,0,0,0,0
group_80618_size_5,80618,5,4,0,0,0,0
group_301970_size_295,301970,295,261,0,0,0,0
group_229838_size_3,229838,3,2,0,0,0,0
group_371186_size_350,371186,350,318,0,0,0,0
group_257168_size_7,257168,7,6,0,0,0,0
group_69342_size_3,69342,3,2,0,0,0,0
group_517190_size_2,517190,2,1,0,0,0,0
group_171966_size_3,171966,3,2,0,0,0,0
group_75172_size_3,75172,3,2,0,0,0,0
group_87940_size_4,87940,4,3,0,0,0,0
group_202622_size_2,202622,2,1,0,0,0,0
group_352530_size_569,352530,569,511,0,0,0,0
group_301802_size_4,301802,4,3,0,0,0,0
group_272966_size_2,272966,2,1,0,0,0,0
group_115050_size_40,115050,40,35,0,0,0,0
group_82330_size_92,82330,92,85,0,0,0,0
group_427762_size_65,427762,65,57,0,0,0,0
group_55140_size_2,55140,2,1,0,0,0,0
group_336644_size_2,336644,2,1,0,0,0,0
group_61552_size_4,61552,4,3,0,0,0,0
group_247248_size_6,247248,6,5,0,0,0,0
group_107410_size_196,107410,196,172,0,0,0,0
group_121010_size_107,121010,107,93,0,0,0,0
group_73308_size_2,73308,2,1,0,0,0,0
group_207412_size_178,207412,178,162,0,0,0,0
group_47154_size_15,47154,15,12,0,0,0,0
group_124496_size_2,124496,2,1,0,0,0,0
